DATE,TIME,SITE,Point 2 evaluation,POINT,LON,LAT,UTM ZONE,UTM LONGITUDE,UTM LATITUDE,ELEVATION,POSITION ERROR [m],NOTE,PRESSURE,TEMP_C,HUMIDITY,ACCUMULATION CHAMBER,ACK,0:CH4_LLIMIT [sec],0:CH4_RLIMIT [sec],CH4_LCONC,CH4_RCONC,CH4_SLOPE,0:CH4_SLOPE_ABS_ERR [ppm/s],CH4_FLUX,CH4_R2,1:H2S_LLIMIT [sec],1:H2S_RLIMIT [sec],1:H2S_LCONC [ppm],1:H2S_RCONC [ppm],1:H2S_SLOPE [ppm/s],1:H2S_SLOPE_ABS_ERR [ppm/s],1:H2S_FLUX [mol/mq/day],1:H2S_r^2,2:CO2_LLIMIT [sec],2:CO2_RLIMIT [sec],CO2_LCONC,CO2_RCONC,CO2_SLOPE,2:CO2_SLOPE_ABS_ERR [ppm/s],CO2_FLUX,CO2_R2,CO2_FLUX_g,CH4_FLUX_g,CO2_FLUX_kgm2s,CH4_FLUX_kgm2s
2023-01-01,07:57:44,domes,1,1,36.26916,-0.924559,-37,196049.359375,9897691,1975.4,3.2,none,811.9,32.0,43.8,B,0.5,33.0,63.0,0.8,0.9,0.004677,0.0005675,0.002339,0.701,22.0,52.0,0.384,0.402,0.0007609,4.993e-05,0.0003804,0.889,48,78,293.5,293.4,0.03291,0.01111,0.01646,0.232,0.7244046,0.03751756,8.3843125e-09,4.342310185185185e-10
2023-01-05,09:18:52,domes,5,5,36.271764,-0.933632,-37,196340.1875,9896688,1950.7,3.2,none,814.2,32.6,34.4,B,0.5,18.0,67.0,0.7,0.8,0.002305,0.0003597,0.001152,0.461,18.0,48.0,0.027,0.23,0.007229,8.954e-05,0.003614,0.996,51,81,285.5,352.7,2.358,0.02428,1.179,0.997,51.88779,0.01847808,6.00553125e-07,2.1386666666666666e-10
2023-01-06,09:38:47,domes,6,6,36.269311,-0.933536,-37,196066.953125,9896698,1952.1,3.2,none,814.1,32.6,34.4,B,0.5,30.0,60.0,0.5,0.7,0.005242,0.001177,0.002621,0.406,16.0,46.0,-0.037,0.148,0.007103,0.0001292,0.003551,0.99,56,86,307.1,389.7,2.819,0.02911,1.409,0.997,62.01009,0.042040839999999996,7.177093749999999e-07,4.865837962962963e-10
2023-01-09,10:42:00,domes,9,9,36.278178,-0.933136,-37,197054.578125,9896743,1948.1,3.2,none,814.4,20.0,0.0,B,0.5634,0.0,30.0,0.0,0.3,0.005484,0.001361,0.003089,0.359,22.0,52.0,-0.289,0.031,0.01155,0.000174,0.006509,0.993,11,41,325.3,381.4,1.983,0.02719,1.117,0.995,49.159169999999996,0.04954756,5.689718749999999e-07,5.734671296296296e-10
2023-01-10,07:16:09,domes,10,10,36.285372,-0.924437,-37,197855.15625,9897706,2108.9,3.2,none,799.9,20.0,0.0,B,0.5533,0.1,30.0,0.8,0.9,0.004802,0.0005231,0.002657,0.744,0.1,30.0,0.601,0.62,0.0005423,7.662e-05,0.0003001,0.633,23,54,364.4,398.3,1.062,0.0405,0.5877,0.958,25.864677,0.04261828,2.993596875e-07,4.932671296296297e-10
2023-01-11,07:29:15,domes,11,11,36.282844,-0.924888,-37,197573.609375,9897656,2130.6,3.2,none,797.9,20.0,53.5,B,0.552,38.0,87.0,1.0,1.5,0.009325,0.0006415,0.005147,0.815,3.0,33.0,0.237,0.447,0.009052,0.0004818,0.004996,0.924,21,54,314.2,325.8,0.3592,0.01243,0.1982,0.963,8.722781999999999,0.08255787999999999,1.0095812499999999e-07,9.555310185185184e-10
2023-01-12,07:41:30,domes,12,12,36.280494,-0.925193,-37,197311.875,9897622,2074.5,3.2,none,803.0,31.2,56.5,B,0.5,66.0,96.0,0.8,1.0,0.006452,0.0008681,0.003226,0.656,0.0,30.0,0.253,0.354,0.004189,0.0001792,0.002095,0.95,3,34,287.3,297.2,0.2527,0.02556,0.1264,0.765,5.562864,0.05174504,6.4385e-08,5.989009259259259e-10
2023-01-15,09:04:32,domes,15,15,36.290242,-0.924683,-37,198397.625,9897679,2080.4,3.2,none,802.4,31.8,66.9,B,0.5,12.0,42.0,0.8,0.9,0.002177,0.0005665,0.001089,0.337,7.0,37.0,0.077,0.372,0.01082,0.0001905,0.005411,0.991,89,119,361.7,446.6,2.982,0.03274,1.491,0.997,65.61891,0.017467559999999997,7.59478125e-07,2.0217083333333328e-10
2023-01-18,09:34:21,domes,17,17,36.294177,-0.924577,-37,198835.921875,9897692,2050.0,3.2,none,805.2,20.0,78.7,B,0.557,81.0,111.0,0.7,0.8,0.004435,0.0005553,0.00247,0.687,4.0,34.0,0.085,0.49,0.01731,0.0008442,0.009642,0.935,66,96,410.7,508.4,3.304,0.03335,1.84,0.997,80.9784,0.039618799999999996,9.372499999999999e-07,4.5855092592592583e-10
2023-01-19,09:52:07,domes,18,18,36.296466,-0.924875,-37,199090.90625,9897659,2051.2,3.2,none,805.1,32.0,70.6,B,0.5,24.0,54.0,0.8,0.9,0.00371,0.0005922,0.001855,0.575,5.0,35.0,0.039,0.401,0.01344,0.0003152,0.006721,0.984,113,143,479.5,577.0,3.532,0.04742,1.766,0.995,77.72166,0.0297542,8.995562499999999e-07,3.443773148148148e-10
2023-01-20,10:14:57,domes,19,19,36.298655,-0.924582,-37,199334.703125,9897691,2017.9,3.2,none,808.1,20.0,83.2,B,0.559,0.0,30.0,0.8,0.9,0.005403,0.0006945,0.00302,0.676,4.0,34.0,0.125,0.462,0.01367,0.0007542,0.007642,0.919,116,146,515.4,631.8,4.024,0.06106,2.249,0.993,98.97849,0.0484408,1.1455843749999998e-06,5.606574074074074e-10
2023-01-23,11:06:47,domes,22,22,36.305538,-0.924376,-37,200101.34375,9897715,1953.8,3.2,none,813.9,35.6,37.9,B,0.5,76.0,106.0,0.3,0.4,0.003226,0.0006283,0.001613,0.476,0.0,30.0,0.247,0.295,0.001554,9.802e-05,0.0007772,0.897,80,111,424.9,445.2,0.64,0.01212,0.32,0.989,14.0832,0.02587252,1.6300000000000002e-07,2.9945046296296294e-10
2023-01-25,11:38:28,domes,24,24,36.310461,-0.924501,-37,200649.703125,9897701,1927.2,3.2,none,816.3,34.0,50.8,B,0.5,91.0,121.0,0.8,0.9,0.004435,0.0006309,0.002218,0.63,16.0,46.0,-0.29,0.126,0.01544,0.0003036,0.00772,0.989,77,107,401.3,505.8,3.583,0.03361,1.792,0.997,78.86592,0.03557672,9.128000000000001e-07,4.1176759259259263e-10
2023-01-26,07:13:41,domes,25,25,36.310001,-0.933564,-37,200599.234375,9896698,2011.6,3.2,none,808.7,28.3,62.2,B,0.5,16.0,46.0,0.9,1.0,0.004798,0.000523,0.002399,0.744,109.0,139.0,0.52,0.52,-2.5e-05,1.59e-05,-1.25e-05,0.079,0,30,384.8,396.0,0.3579,0.01512,0.1789,0.951,7.8733889999999995,0.03847996,9.11271875e-08,4.453699074074074e-10
2023-01-27,07:34:58,domes,26,26,36.307628,-0.932958,-37,200334.875,9896765,2002.1,3.2,none,809.5,33.4,66.8,B,0.5,41.0,77.0,0.8,1.1,0.008677,0.0005627,0.004339,0.872,0.0,30.0,0.348,0.675,0.01191,0.001253,0.005957,0.757,101,131,403.6,412.9,0.3149,0.01074,0.1574,0.967,6.927174,0.06959756,8.0175625e-08,8.055273148148149e-10
2023-01-29,08:23:35,domes,28,28,36.300659,-0.932275,-37,199558.578125,9896840,2052.9,3.2,none,804.9,35.2,33.3,B,0.5,0.0,30.0,0.3,0.7,0.009879,0.002139,0.00494,0.424,17.0,47.0,-0.014,0.199,0.007909,0.0001565,0.003954,0.989,11,41,308.2,363.8,1.982,0.02445,0.9911,0.996,43.618311,0.07923759999999999,5.048415625e-07,9.171018518518517e-10
2023-01-30,09:10:36,domes,29,29,36.297754,-0.930902,-37,199234.875,9896992,2025.7,3.2,none,807.4,37.0,30.7,B,0.5,84.0,119.0,0.5,0.8,0.003423,0.0008256,0.001712,0.336,19.0,49.0,-0.25,0.042,0.01016,9.545e-05,0.005081,0.997,14,51,308.9,323.8,0.3878,0.01118,0.1939,0.971,8.533539,0.02746048,9.87678125e-08,3.178296296296296e-10
2023-02-03,08:33:49,domes,33,33,36.330347,-0.924716,-37,202864.6875,9897679,1948.6,3.2,none,814.4,29.6,54.0,B,0.5,50.0,80.0,1.0,1.1,0.004597,0.0005898,0.002298,0.677,46.0,76.0,0.445,0.454,0.0003452,1.331e-05,0.0001726,0.959,10,40,292.1,306.4,0.4832,0.02914,0.2416,0.905,10.632816,0.03685992,1.23065e-07,4.266194444444444e-10
2023-02-05,10:09:05,domes,35,35,36.336596,-0.924428,-37,203560.6875,9897712,1971.5,3.2,none,812.3,33.1,46.8,B,0.5,0.0,31.0,0.7,0.9,0.00614,0.0009846,0.00307,0.565,19.0,49.0,0.064,0.211,0.005376,8.993e-05,0.002688,0.992,11,41,316.7,324.9,0.3186,0.0151,0.1593,0.939,7.010793,0.049242799999999996,8.11434375e-08,5.699398148148147e-10
2023-02-06,07:22:54,domes,36,36,36.323459,-0.924165,-37,202097.4375,9897740,2011.8,3.2,none,808.6,30.4,88.1,B,0.5,43.0,86.0,0.5,0.8,0.006927,0.001493,0.003464,0.339,0.1,30.0,0.414,0.769,0.01296,0.001293,0.006481,0.776,10,40,356.6,369.4,0.4535,0.03275,0.2267,0.869,9.977067,0.05556256,1.1547531249999999e-07,6.430851851851852e-10
