MONTH,n_measurements,mean_flux_mol,std_flux_mol,mean_flux_g,mean_flux_kgm2s,total_kg_day,total_tonnes_day
1,17,0.0026991764705882357,0.0011884789246813612,0.043294790588235266,5.010971132897603e-10,17230.460758305882,17.23046075830588
2,21,0.003092714285714286,0.0022799570422018297,0.049607137142857125,5.741566798941798e-10,19742.648440114284,19.742648440114284
3,23,0.0038682608695652177,0.0026052493026299337,0.062046904347826046,7.181354669887278e-10,24693.426992347824,24.693426992347824
4,15,0.002142506666666667,0.0011016500192676353,0.03436580693333329,3.9775239506172837e-10,13676.903843328,13.676903843328
5,23,0.002611173913043478,0.0015841649837223942,0.04188322956521737,4.847596014492753e-10,16668.687702365216,16.668687702365215
6,18,0.0025843446722222225,0.0012207691389391105,0.041452888542444416,4.797788025745884e-10,16497.42058212204,16.49742058212204
7,23,0.0030182888304347826,0.0022258030404161745,0.04841335284017386,5.603397319464572e-10,19267.54616333241,19.26754616333241
8,23,0.004002266326086956,0.0026036696106417814,0.06419635187043475,7.430133318337358e-10,25548.86411739563,25.54886411739563
9,14,0.0019846967214285716,0.0007855023275961826,0.03183453541171427,3.684552709689153e-10,12669.508403154048,12.669508403154047
10,23,0.0026217593347826087,0.0016026919902204645,0.042053019729913016,4.867247653925121e-10,16736.260792110792,16.73626079211079
11,18,0.002644735872222222,0.0011983593429961375,0.04242156339044442,4.909903170190328e-10,16882.933798129077,16.882933798129077
12,23,0.002979006634782609,0.002182832484341252,0.047783266421913,5.53047065068438e-10,19016.78437059295,19.01678437059295
